구분	구분(2)	컬럼3	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4	2021.3/4
구분	구분(2)	컬럼3	합계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
세대	세대	세대	4,421,143	73,652	63,267	111,177	134,620	167,438	167,591	185,497	195,099	144,573	138,582	217,269	214,181	143,712	179,541	181,281	270,389	180,424	116,545	186,360	184,825	276,182	171,497	234,218	282,018	201,205
인구	합계	계	9,765,869	154,318	131,943	238,300	294,140	353,380	351,626	393,149	441,717	304,257	320,711	517,038	477,961	316,415	379,525	452,255	581,265	422,361	244,887	401,814	396,122	501,572	420,045	538,075	664,996	467,997
인구	합계	남자	4,739,972	74,561	64,274	115,655	143,055	169,739	172,463	193,652	212,069	147,881	155,948	248,908	228,427	150,057	177,861	221,434	279,783	209,609	124,282	199,388	191,140	251,277	200,920	257,524	320,348	229,717
인구	합계	여자	5,025,897	79,757	67,669	122,645	151,085	183,641	179,163	199,497	229,648	156,376	164,763	268,130	249,534	166,358	201,664	230,821	301,482	212,752	120,605	202,426	204,982	250,295	219,125	280,551	344,648	238,280
인구	한국인	계	9,542,256	145,512	122,858	224,145	287,820	341,112	337,846	388,554	432,628	300,887	318,718	513,053	474,062	306,249	369,903	449,010	575,875	397,506	230,644	377,536	387,117	488,029	416,285	533,359	659,385	464,163
인구	한국인	남자	4,636,069	70,666	59,853	107,801	140,290	164,553	167,083	191,832	208,592	146,613	155,212	247,118	226,833	146,388	174,119	220,075	277,388	196,027	116,588	186,414	187,286	245,220	199,068	255,264	317,784	228,002
인구	한국인	여자	4,906,187	74,846	63,005	116,344	147,530	176,559	170,763	196,722	224,036	154,274	163,506	265,935	247,229	159,861	195,784	228,935	298,487	201,479	114,056	191,122	199,831	242,809	217,217	278,095	341,601	236,161
인구	등록외국인	계	223,613	8,806	9,085	14,155	6,320	12,268	13,780	4,595	9,089	3,370	1,993	3,985	3,899	10,166	9,622	3,245	5,390	24,855	14,243	24,278	9,005	13,543	3,760	4,716	5,611	3,834
인구	등록외국인	남자	103,903	3,895	4,421	7,854	2,765	5,186	5,380	1,820	3,477	1,268	736	1,790	1,594	3,669	3,742	1,359	2,395	13,582	7,694	12,974	3,854	6,057	1,852	2,260	2,564	1,715
인구	등록외국인	여자	119,710	4,911	4,664	6,301	3,555	7,082	8,400	2,775	5,612	2,102	1,257	2,195	2,305	6,497	5,880	1,886	2,995	11,273	6,549	11,304	5,151	7,486	1,908	2,456	3,047	2,119
세대당인구	세대당인구	세대당인구	2.16	1.98	1.94	2.02	2.14	2.04	2.02	2.09	2.22	2.08	2.3	2.36	2.21	2.13	2.06	2.48	2.13	2.2	1.98	2.03	2.09	1.77	2.43	2.28	2.34	2.31
65세이상고령자	65세이상고령자	65세이상고령자	1,592,339	27,776	24,225	38,906	46,053	51,278	61,759	70,908	74,235	63,914	63,448	87,537	86,724	54,056	54,260	67,880	91,505	71,930	40,691	62,108	66,306	79,444	60,493	77,222	96,453	73,228
